show_id,type,title,director,country,release_year,rating,duration
s1,Movie,Title1,Director1,India,2020,TV-MA,"120 min"
s2,"TV Show",Title2,Director2,"United States",2021,TV-14,"2 Seasons"
s3,Movie,Title3,Director3,India,2022,PG-13,"130 min"
s4,"TV Show",Title4,Director4,"South Korea",2021,TV-MA,"1 Season"
s5,Movie,Title5,Director5,Spain,2020,R,"115 min"
s6,Movie,Title6,Director6,India,2023,UA,"140 min"
s7,"TV Show",Title7,Director7,France,2022,TV-MA,"3 Seasons"
s8,Movie,Title8,Director8,Germany,2019,PG-13,"125 min"
s9,"TV Show",Title9,Director9,Japan,2021,TV-14,"2 Seasons"
s10,Movie,Title10,Director10,India,2023,TV-MA,"150 min"
s11,Movie,Title11,Director11,India,2020,TV-MA,"118 min"
s12,"TV Show",Title12,Director12,Canada,2022,TV-14,"1 Season"
s13,Movie,Title13,Director13,"United Kingdom",2021,PG-13,"132 min"
s14,"TV Show",Title14,Director14,Australia,2023,TV-MA,"2 Seasons"
s15,Movie,Title15,Director15,India,2022,UA,"145 min"
s16,"TV Show",Title16,Director16,"South Korea",2021,TV-MA,"3 Seasons"
s17,Movie,Title17,Director17,France,2019,R,"121 min"
s18,"TV Show",Title18,Director18,Japan,2020,TV-14,"2 Seasons"
s19,Movie,Title19,Director19,Germany,2023,PG-13,"136 min"
s20,"TV Show",Title20,Director20,Spain,2022,TV-MA,"1 Season"
s21,Movie,Title21,Director21,India,2021,TV-MA,"124 min"
s22,"TV Show",Title22,Director22,"United States",2020,TV-14,"4 Seasons"
s23,Movie,Title23,Director23,Canada,2022,PG-13,"128 min"
s24,"TV Show",Title24,Director24,France,2023,TV-MA,"2 Seasons"
s25,Movie,Title25,Director25,India,2021,UA,"142 min"
s26,"TV Show",Title26,Director26,"United States",2022,TV-MA,"2 Seasons"
s27,Movie,Title27,Director27,India,2020,PG-13,"126 min"
s28,"TV Show",Title28,Director28,"South Korea",2021,TV-14,"1 Season"
s29,Movie,Title29,Director29,Japan,2023,TV-MA,"138 min"
s30,"TV Show",Title30,Director30,Germany,2022,TV-MA,"3 Seasons"
s31,Movie,Title31,Director31,France,2021,R,"122 min"
s32,"TV Show",Title32,Director32,Spain,2020,TV-14,"2 Seasons"
s33,Movie,Title33,Director33,India,2022,UA,"148 min"
s34,"TV Show",Title34,Director34,Canada,2023,TV-MA,"1 Season"
s35,Movie,Title35,Director35,"United Kingdom",2021,PG-13,"134 min"
